episode,episode_length,total_rewards,avg_q,epsilon
0,103,-371.83590111158776,0.04407984,0.9950248756218907
1,61,-80.59898253727164,0.04407984,0.990074503106359
2,88,-114.22545358298584,0.04407984,0.98514875930981
3,96,-120.11936059845378,0.04407984,0.9802475217013037
4,67,-122.9563115868406,0.04407984,0.9753706683595063
5,79,-143.13767833410236,0.04407984,0.970518077969658
6,107,-345.0482321251543,0.04407984,0.9656896298205554
7,89,-84.43886853943648,0.04407984,0.9608852038015477
8,114,-176.35207646040595,0.04407984,0.9561046803995501
9,84,-140.4947780786281,0.04407984,0.9513479406960699
